Fecha,Determinación,"Publicación
DOF","Para solventar
obligaciones"
,,,
02/01/2006,10.6253,10.6344,10.7109
03/01/2006,10.6455,10.6253,10.6344
04/01/2006,10.5815,10.6455,10.6253
05/01/2006,10.5907,10.5815,10.6455
06/01/2006,10.5726,10.5907,10.5815
07/01/2006,N/E,N/E,10.5907
08/01/2006,N/E,N/E,10.5907
09/01/2006,10.5446,10.5726,10.5907
10/01/2006,10.5990,10.5446,10.5726
11/01/2006,10.6097,10.5990,10.5446
12/01/2006,10.5732,10.6097,10.5990
13/01/2006,10.5752,10.5732,10.6097
14/01/2006,N/E,N/E,10.5732
15/01/2006,N/E,N/E,10.5732
16/01/2006,10.5590,10.5752,10.5732
17/01/2006,10.5372,10.5590,10.5752
18/01/2006,10.5778,10.5372,10.5590
19/01/2006,10.5589,10.5778,10.5372
20/01/2006,10.5078,10.5589,10.5778
21/01/2006,N/E,N/E,10.5589
22/01/2006,N/E,N/E,10.5589
23/01/2006,10.5208,10.5078,10.5589
24/01/2006,10.5063,10.5208,10.5078
25/01/2006,10.5004,10.5063,10.5208
26/01/2006,10.5039,10.5004,10.5063
27/01/2006,10.4598,10.5039,10.5004
28/01/2006,N/E,N/E,10.5039
29/01/2006,N/E,N/E,10.5039
30/01/2006,10.4416,10.4598,10.5039
31/01/2006,10.4433,10.4416,10.4598
01/02/2006,10.4303,10.4433,10.4416
02/02/2006,10.4805,10.4303,10.4433
03/02/2006,10.4981,10.4805,10.4303
04/02/2006,N/E,N/E,10.4805
05/02/2006,N/E,N/E,10.4805
06/02/2006,N/E,N/E,10.4805
07/02/2006,10.4758,10.4981,10.4805
08/02/2006,10.5277,10.4758,10.4981
09/02/2006,10.4803,10.5277,10.4758
10/02/2006,10.4870,10.4803,10.5277
11/02/2006,N/E,N/E,10.4803
12/02/2006,N/E,N/E,10.4803
13/02/2006,10.5258,10.4870,10.4803
14/02/2006,10.5249,10.5258,10.4870
15/02/2006,10.5170,10.5249,10.5258
16/02/2006,10.5175,10.5170,10.5249
17/02/2006,10.4528,10.5175,10.5170
18/02/2006,N/E,N/E,10.5175
19/02/2006,N/E,N/E,10.5175
20/02/2006,10.4401,10.4528,10.5175
21/02/2006,10.4388,10.4401,10.4528
22/02/2006,10.4990,10.4388,10.4401
23/02/2006,10.4885,10.4990,10.4388
24/02/2006,10.4761,10.4885,10.4990
25/02/2006,N/E,N/E,10.4885
26/02/2006,N/E,N/E,10.4885
27/02/2006,10.4661,10.4761,10.4885
28/02/2006,10.4560,10.4661,10.4761
01/03/2006,10.4673,10.4560,10.4661
02/03/2006,10.5113,10.4673,10.4560
03/03/2006,10.5759,10.5113,10.4673
04/03/2006,N/E,N/E,10.5113
05/03/2006,N/E,N/E,10.5113
06/03/2006,10.6118,10.5759,10.5113
07/03/2006,10.7003,10.6118,10.5759
08/03/2006,10.7560,10.7003,10.6118
09/03/2006,10.7094,10.7560,10.7003
10/03/2006,10.7125,10.7094,10.7560
11/03/2006,N/E,N/E,10.7094
12/03/2006,N/E,N/E,10.7094
13/03/2006,10.7126,10.7125,10.7094
14/03/2006,10.6942,10.7126,10.7125
15/03/2006,10.6667,10.6942,10.7126
16/03/2006,10.6212,10.6667,10.6942
17/03/2006,10.6885,10.6212,10.6667
18/03/2006,N/E,N/E,10.6212
19/03/2006,N/E,N/E,10.6212
20/03/2006,10.7568,10.6885,10.6212
21/03/2006,N/E,N/E,10.6885
22/03/2006,10.8628,10.7568,10.6885
23/03/2006,10.8612,10.8628,10.7568
24/03/2006,10.8568,10.8612,10.8628
25/03/2006,N/E,N/E,10.8612
26/03/2006,N/E,N/E,10.8612
27/03/2006,10.9329,10.8568,10.8612
28/03/2006,10.9633,10.9329,10.8568
29/03/2006,10.9510,10.9633,10.9329
30/03/2006,10.9228,10.9510,10.9633
31/03/2006,10.8935,10.9228,10.9510
01/04/2006,N/E,N/E,10.9228
02/04/2006,N/E,N/E,10.9228
03/04/2006,10.8717,10.8935,10.9228
04/04/2006,10.8548,10.8717,10.8935
05/04/2006,10.9467,10.8548,10.8717
06/04/2006,11.0557,10.9467,10.8548
07/04/2006,11.1443,11.0557,10.9467
08/04/2006,N/E,N/E,11.0557
09/04/2006,N/E,N/E,11.0557
10/04/2006,11.0956,11.1443,11.0557
11/04/2006,11.0708,11.0956,11.1443
12/04/2006,11.0477,11.0708,11.0956
13/04/2006,N/E,N/E,11.0708
14/04/2006,N/E,N/E,11.0708
15/04/2006,N/E,N/E,11.0708
16/04/2006,N/E,N/E,11.0708
17/04/2006,11.0842,11.0477,11.0708
18/04/2006,11.0011,11.0842,11.0477
19/04/2006,10.9773,11.0011,11.0842
20/04/2006,11.0302,10.9773,11.0011
21/04/2006,11.0667,11.0302,10.9773
22/04/2006,N/E,N/E,11.0302
23/04/2006,N/E,N/E,11.0302
24/04/2006,11.0656,11.0667,11.0302
25/04/2006,11.0842,11.0656,11.0667
26/04/2006,11.1578,11.0842,11.0656
27/04/2006,11.1135,11.1578,11.0842
28/04/2006,11.0903,11.1135,11.1578
29/04/2006,N/E,N/E,11.1135
30/04/2006,N/E,N/E,11.1135
01/05/2006,N/E,N/E,11.1135
02/05/2006,11.0323,11.0903,11.1135
03/05/2006,10.9608,11.0323,11.0903
04/05/2006,10.9694,10.9608,11.0323
05/05/2006,10.9587,10.9694,10.9608
06/05/2006,N/E,N/E,10.9694
07/05/2006,N/E,N/E,10.9694
08/05/2006,10.9381,10.9587,10.9694
09/05/2006,10.9258,10.9381,10.9587
10/05/2006,10.8425,10.9258,10.9381
11/05/2006,10.8381,10.8425,10.9258
12/05/2006,11.0325,10.8381,10.8425
13/05/2006,N/E,N/E,10.8381
14/05/2006,N/E,N/E,10.8381
15/05/2006,11.1532,11.0325,10.8381
16/05/2006,11.0518,11.1532,11.0325
17/05/2006,11.1330,11.0518,11.1532
18/05/2006,11.2005,11.1330,11.0518
19/05/2006,11.1915,11.2005,11.1330
20/05/2006,N/E,N/E,11.2005
21/05/2006,N/E,N/E,11.2005
22/05/2006,11.2799,11.1915,11.2005
23/05/2006,11.1935,11.2799,11.1915
24/05/2006,11.2854,11.1935,11.2799
25/05/2006,11.2097,11.2854,11.1935
26/05/2006,11.1373,11.2097,11.2854
27/05/2006,N/E,N/E,11.2097
28/05/2006,N/E,N/E,11.2097
29/05/2006,11.1303,11.1373,11.2097
30/05/2006,11.2693,11.1303,11.1373
31/05/2006,11.2966,11.2693,11.1303
01/06/2006,11.2843,11.2966,11.2693
02/06/2006,11.2970,11.2843,11.2966
03/06/2006,N/E,N/E,11.2843
04/06/2006,N/E,N/E,11.2843
05/06/2006,11.2854,11.2970,11.2843
06/06/2006,11.3667,11.2854,11.2970
07/06/2006,11.3250,11.3667,11.2854
08/06/2006,11.4190,11.3250,11.3667
09/06/2006,11.3777,11.4190,11.3250
10/06/2006,N/E,N/E,11.4190
11/06/2006,N/E,N/E,11.4190
12/06/2006,11.3827,11.3777,11.4190
13/06/2006,11.4327,11.3827,11.3777
14/06/2006,11.4527,11.4327,11.3827
15/06/2006,11.4113,11.4527,11.4327
16/06/2006,11.4140,11.4113,11.4527
17/06/2006,N/E,N/E,11.4113
18/06/2006,N/E,N/E,11.4113
19/06/2006,11.4459,11.4140,11.4113
20/06/2006,11.4809,11.4459,11.4140
21/06/2006,11.4441,11.4809,11.4459
22/06/2006,11.4405,11.4441,11.4809
23/06/2006,11.4382,11.4405,11.4441
24/06/2006,N/E,N/E,11.4405
25/06/2006,N/E,N/E,11.4405
26/06/2006,11.4090,11.4382,11.4405
27/06/2006,11.4302,11.4090,11.4382
28/06/2006,11.3973,11.4302,11.4090
29/06/2006,11.4009,11.3973,11.4302
30/06/2006,11.2723,11.4009,11.3973
01/07/2006,N/E,N/E,11.4009
02/07/2006,N/E,N/E,11.4009
03/07/2006,11.1302,11.2723,11.4009
04/07/2006,11.0642,11.1302,11.2723
05/07/2006,11.1901,11.0642,11.1302
06/07/2006,11.1061,11.1901,11.0642
07/07/2006,11.0243,11.1061,11.1901
08/07/2006,N/E,N/E,11.1061
09/07/2006,N/E,N/E,11.1061
10/07/2006,10.9547,11.0243,11.1061
11/07/2006,11.0095,10.9547,11.0243
12/07/2006,11.0303,11.0095,10.9547
13/07/2006,11.0523,11.0303,11.0095
14/07/2006,11.0275,11.0523,11.0303
15/07/2006,N/E,N/E,11.0523
16/07/2006,N/E,N/E,11.0523
17/07/2006,10.9914,11.0275,11.0523
18/07/2006,10.9618,10.9914,11.0275
19/07/2006,10.9045,10.9618,10.9914
20/07/2006,10.8708,10.9045,10.9618
21/07/2006,10.8954,10.8708,10.9045
22/07/2006,N/E,N/E,10.8708
23/07/2006,N/E,N/E,10.8708
24/07/2006,10.9303,10.8954,10.8708
25/07/2006,10.9148,10.9303,10.8954
26/07/2006,10.9337,10.9148,10.9303
27/07/2006,10.8968,10.9337,10.9148
28/07/2006,10.8947,10.8968,10.9337
29/07/2006,N/E,N/E,10.8968
30/07/2006,N/E,N/E,10.8968
31/07/2006,10.9181,10.8947,10.8968
01/08/2006,11.0203,10.9181,10.8947
02/08/2006,10.9537,11.0203,10.9181
03/08/2006,10.9802,10.9537,11.0203
04/08/2006,10.8908,10.9802,10.9537
05/08/2006,N/E,N/E,10.9802
06/08/2006,N/E,N/E,10.9802
07/08/2006,10.8838,10.8908,10.9802
08/08/2006,10.9113,10.8838,10.8908
09/08/2006,10.8386,10.9113,10.8838
10/08/2006,10.8808,10.8386,10.9113
11/08/2006,10.8147,10.8808,10.8386
12/08/2006,N/E,N/E,10.8808
13/08/2006,N/E,N/E,10.8808
14/08/2006,10.8028,10.8147,10.8808
15/08/2006,10.8250,10.8028,10.8147
16/08/2006,10.7500,10.8250,10.8028
17/08/2006,10.7480,10.7500,10.8250
18/08/2006,10.8217,10.7480,10.7500
19/08/2006,N/E,N/E,10.7480
20/08/2006,N/E,N/E,10.7480
21/08/2006,10.8038,10.8217,10.7480
22/08/2006,10.8040,10.8038,10.8217
23/08/2006,10.8428,10.8040,10.8038
24/08/2006,10.9220,10.8428,10.8040
25/08/2006,10.9528,10.9220,10.8428
26/08/2006,N/E,N/E,10.9220
27/08/2006,N/E,N/E,10.9220
28/08/2006,10.9347,10.9528,10.9220
29/08/2006,10.9047,10.9347,10.9528
30/08/2006,10.8650,10.9047,10.9347
31/08/2006,10.9037,10.8650,10.9047
01/09/2006,10.8952,10.9037,10.8650
02/09/2006,N/E,N/E,10.9037
03/09/2006,N/E,N/E,10.9037
04/09/2006,10.8476,10.8952,10.9037
05/09/2006,10.8438,10.8476,10.8952
06/09/2006,10.9380,10.8438,10.8476
07/09/2006,11.0196,10.9380,10.8438
08/09/2006,11.0271,11.0196,10.9380
09/09/2006,N/E,N/E,11.0196
10/09/2006,N/E,N/E,11.0196
11/09/2006,11.0705,11.0271,11.0196
12/09/2006,11.0361,11.0705,11.0271
13/09/2006,11.0117,11.0361,11.0705
14/09/2006,10.9818,11.0117,11.0361
15/09/2006,10.9468,10.9818,11.0117
16/09/2006,N/E,N/E,10.9818
17/09/2006,N/E,N/E,10.9818
18/09/2006,10.9273,10.9468,10.9818
19/09/2006,10.9227,10.9273,10.9468
20/09/2006,10.9346,10.9227,10.9273
21/09/2006,10.9953,10.9346,10.9227
22/09/2006,11.0877,10.9953,10.9346
23/09/2006,N/E,N/E,10.9953
24/09/2006,N/E,N/E,10.9953
25/09/2006,11.1050,11.0877,10.9953
26/09/2006,11.0418,11.1050,11.0877
27/09/2006,11.0152,11.0418,11.1050
28/09/2006,11.0502,11.0152,11.0418
29/09/2006,10.9935,11.0502,11.0152
30/09/2006,N/E,N/E,11.0502
01/10/2006,N/E,N/E,11.0502
02/10/2006,10.9733,10.9935,11.0502
03/10/2006,11.0404,10.9733,10.9935
04/10/2006,11.0533,11.0404,10.9733
05/10/2006,11.0185,11.0533,11.0404
