source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,RT @VP: Earlier this year President @realDonaldTrump declared the border crisis a national emergency and today Mexico is doing more to secu…,07/12/2019 22:14,11433,0,true,1.1498E+18
Twitter for iPhone,....companies to come to the USA and to get companies that have left us for other lands to COME BACK HOME. We  stupidly lost 30% of our auto business to Mexico. If the Tariffs went on at the higher level they would all come back and fast. But very happy with the deal I made...,07/12/2019 12:48,9842,49450,false,1.14966E+18
Twitter for iPhone,.....if Mexico produces (which I think they will). Biggest part of deal with Mexico has not yet been revealed! China is similar except they devalue currency &amp; subsidize companies to lessen effect of 25% Tariffs. So far little effect to consumers. Companies will relocate to U.S.,07/12/2019 12:48,10001,50049,false,1.14966E+18
Twitter for iPhone,RT @PAChamber: Trade with Canada and Mexico supports more than 12 million American jobs in every state in the Union. In fact 49 U.S. state…,07/12/2019 03:26,4308,0,true,1.14952E+18
Twitter for iPhone,Mexico is doing great at the Border but China is letting us down in that they have not been buying the agricultural products from our great Farmers that they said they would. Hopefully they will start soon!,07/11/2019 14:04,11612,48964,false,1.14932E+18
Twitter for iPhone,Mexico is doing a far better job than the Democrats on the Border. Thank you Mexico!,07/03/2019 20:23,24713,121023,false,1.14651E+18
Twitter for iPhone,Bipartisan Humanitarian Aid Bill for the Southern Border just passed. A great job done by all! Now we must work to get rid of the Loopholes and fix Asylum. Thank you also to Mexico for the work being done on helping with Illegal Immigration - a very big difference!,06-27-2019 22:22:39,25170,109712,false,1.14437E+18
Twitter for iPhone,RT @mike_pence: What Americans hear tomorrow night will only confirm that Mexico has done more in the last 10 DAYS to secure the southern b…,06-26-2019 10:47:32,4961,0,true,1.14383E+18
Twitter for iPhone,RT @VP: Mexico is keeping its promise &amp; now sending 15000 troops to border to help with crisis. Meanwhile Dems won’t fund beds for migrant…,06-25-2019 11:58:45,11878,0,true,1.14349E+18
Twitter for iPhone,RT @VP: Mexico has done more to secure our border in 10 days than Democrats in Congress have in 10 YEARS. The time to put Americans first i…,06-24-2019 11:03:06,13110,0,true,1.14311E+18
Twitter for iPhone,I want to give the Democrats every last chance to quickly negotiate simple changes to Asylum and Loopholes. This will fix the Southern Border together with the help that Mexico is now giving us. Probably won’t happen but worth a try. Two weeks and big Deportation begins!,06-23-2019 12:13:26,24276,106796,false,1.14277E+18
Twitter for iPhone,Congratulations to President Lopez Obrador — Mexico voted to ratify the USMCA today by a huge margin. Time for Congress to do the same here!,06-19-2019 23:01:59,22674,99012,false,1.14148E+18
Twitter for iPhone,Next week ICE will begin the process of removing the millions of illegal aliens who have illicitly found their way into the United States. They will be removed as fast as they come in. Mexico using their strong immigration laws is doing a very good job of stopping people.......,06-18-2019 01:20:39,37105,154390,false,1.14079E+18
Twitter for iPhone,RT @LindseyGrahamSC: Very glad to see Mexico working with President @realDonaldTrump to up their game and deal with immigration from Centra…,06-17-2019 01:51:16,10975,0,true,1.14044E+18
Twitter for iPhone,....If Mexico produces (which I think they will). Biggest part of deal with Mexico has not yet been revealed! China is similar except they devalue currency and subsidize companies to lessen effect of 25% Tariff. So far little effect to consumer. Companies will relocate to U.S.,06/11/2019 13:14,13020,67854,false,1.13843E+18
Twitter for iPhone,...Companies to come to the U.S.A and to get companies that have left us for other lands to come back home. We stupidly lost 30% of our auto business to Mexico. If the Tariffs went on at the higher level they would all come back and pass. But very happy with the deal I made...,06/11/2019 13:12,12665,68164,false,1.13843E+18
